Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,produktivitas (produksi/luas lahan),luas provinsi,rasio penggunaan lahan (luas panen/luas provinsi)
Aceh,1993,1329536,323589,1627,82,26.06,4.108718158,58486000,0.005532759977
Aceh,1994,1299699,329041,1521,82.12,26.92,3.949960643,58486000,0.005625978867
Aceh,1995,1382905,339253,1476,82.72,26.27,4.07632357,58486000,0.005800584755
Aceh,1996,1419128,348223,1557,83,26.08,4.075342525,58486000,0.005953954793
Aceh,1997,1368074,337561,1339,82.46,26.31,4.052820083,58486000,0.005771654755
Aceh,1998,1404580,365892,1465,82.6,26.84,3.838783029,58486000,0.00625606128
Aceh,1999,1478712,359817,1778,82.79,26.14,4.109622391,58486000,0.006152190268
Aceh,2000,1486909,336765,1974.7,90.6,27.1,4.415271777,58486000,0.00575804466
Aceh,2001,1547499,295212,1688.7,69.48,28.9,5.241992195,58486000,0.005047566939
Aceh,2002,1314165,315131,1296.8,68.75,29.2,4.1702181,58486000,0.005388144171
Aceh,2003,1246614,367636,1507.2,70.66,29.4,3.390892078,58486000,0.006285880382
Aceh,2004,1350748,370966,1097,80.84,29.4,3.64116388,58486000,0.006342817084
Aceh,2005,1411650,337893,710.5,79.5,26.8,4.177801849,58486000,0.005777331327
Aceh,2006,1552078,320789,506.5,80.8,26.73,4.838314281,58486000,0.005484885272
Aceh,2007,1556858,360717,1414,81.5,26.38,4.316009503,58486000,0.006167578566
Aceh,2008,1402287,329109,1270.4,78.5,27,4.260858864,58486000,0.005627141538
Aceh,2009,1533369,359375,1577,78.7,26.9,4.266765913,58486000,0.006144632904
Aceh,2010,1788738,352281,1986,81.4,27.1,5.07758863,58486000,0.006023338919
Aceh,2011,1772962,380686,1268,79.4,27.1,4.657281854,58486000,0.006509010703
Aceh,2012,1582393,387803,1098,79.6,26.9,4.080404226,58486000,0.006630697945
Aceh,2013,2331046,419183,1623.6,80.7,27,5.560926851,58486000,0.007167236604
Aceh,2014,1820062,376137,2264.4,78.3,27.1,4.838827342,58486000,0.006431231406
Aceh,2015,1956940,461060,1575,80,27.1,4.244436733,58486000,0.007883254112
Aceh,2016,2180754,293067,1096,83.32,27.12,7.441144858,58486000,0.005010891495
Aceh,2017,2478922,294483,1905.9,85.57,26.51,8.417878112,58486000,0.005035102418
Aceh,2018,1751996.94,329515.78,1427.8,83.98,26.48,5.316883276,58486000,0.005634096707
Aceh,2019,1714437.6,310012.46,1931.4,83.9,26.65,5.530221592,58486000,0.005300626817
Aceh,2020,1861567.1,317869.41,1619.2,80.82,25.41,5.856389578,58486000,0.005434965804
Sumatera Utara,1993,2918152,754569,2549.4,83.8,26.45,3.867309683,72461000,0.01041344999
Sumatera Utara,1994,3079960,792534,2166.5,83.79,26.4,3.886218131,72461000,0.01093738701
Sumatera Utara,1995,3134533,795183,2917.1,81.68,26.58,3.941901424,72461000,0.0109739446
Sumatera Utara,1996,3136760,790051,2326.5,81.31,26.33,3.970325966,72461000,0.0109031203
Sumatera Utara,1997,3212208,797545,1865,81.81,26.4,4.027619758,72461000,0.01100654145
Sumatera Utara,1998,3321049,823749,2496.9,83.53,27.16,4.031627353,72461000,0.01136817046
Sumatera Utara,1999,3451430,838626,3087.3,84.56,26.45,4.115577146,72461000,0.01157348091
Sumatera Utara,2000,3514253,847610,1289.5,82.94,27.7,4.146073076,72461000,0.01169746484
Sumatera Utara,2001,3291515,801948,3595.3,72.78,28.03,4.104399537,72461000,0.01106730517
Sumatera Utara,2002,3153305,765161,1944.9,72.31,28.45,4.121100004,72461000,0.01055962518
Sumatera Utara,2003,3403075,825188,3140.2,72.08,29.59,4.123999622,72461000,0.01138802942
Sumatera Utara,2004,3418782,826091,2406.9,80.79,29.27,4.138505322,72461000,0.0114004913
Sumatera Utara,2005,3447394,822073,776.7,83.8,27,4.193537557,72461000,0.01134504078
Sumatera Utara,2006,3007636,705023,222.5,81,27.8,4.26601118,72461000,0.009729689074
Sumatera Utara,2007,3265834,750232,2513,82,27,4.353098775,72461000,0.01035359711
Sumatera Utara,2008,3340794,748540,2442,81.4,26.9,4.463080129,72461000,0.01033024662
Sumatera Utara,2009,3527899,768407,2184,86,27.1,4.5911854,72461000,0.01060442169
Sumatera Utara,2010,3582302,754674,1903.3,78.55,27.18,4.746820481,72461000,0.01041489905
Sumatera Utara,2011,3607403,757547,2042,79,27.2,4.761952724,72461000,0.01045454796
Sumatera Utara,2012,3715514,765099,3175,76,27.3,4.85625259,72461000,0.01055876954
Sumatera Utara,2013,3727249,742968,2627,78.67,28.8,5.016701931,72461000,0.01025335008
Sumatera Utara,2014,3631039,717318,2148,79,27.9,5.061965544,72461000,0.009899366556
Sumatera Utara,2015,4044829,781769,975.9,86.9,27.4,5.173943966,72461000,0.01078882433
Sumatera Utara,2016,4387035.9,423029,2384,82,27.65,10.37053228,72461000,0.005838023212
Sumatera Utara,2017,4669777.5,415675,3190,84,27.5,11.2342034,72461000,0.005736534136
Sumatera Utara,2018,2108284.72,408176.45,2431,80,26.41,5.165130717,72461000,0.005633050193
Sumatera Utara,2019,2078901.59,413141.24,1401.6,86.53,27.03,5.031939174,72461000,0.005701566912
Sumatera Utara,2020,2076280.01,388591.22,1648.3,83.76,25.79,5.343095529,72461000,0.005362763694
Sumatera Barat,1993,1806424,394412,5110,89.77,24.7,4.580043204,42120000,0.009364007597
Sumatera Barat,1994,1747543,382740,4869.5,75.22,24.49,4.565875007,42120000,0.009086894587
Sumatera Barat,1995,1829192,400627,5022,87.68,24.82,4.565823072,42120000,0.009511562203
Sumatera Barat,1996,1971180,430343,3866,87.29,24.52,4.580485799,42120000,0.01021707028
Sumatera Barat,1997,1787719,395728,2945.1,87.97,24.69,4.517544879,42120000,0.009395251662
Sumatera Barat,1998,1807622,412810,5522,87.39,25.04,4.378823187,42120000,0.009800807217
Sumatera Barat,1999,1897678,432254,4327.5,80.89,22.48,4.390191878,42120000,0.01026244065
Sumatera Barat,2000,1759059,396919,3040.6,86.01,25.86,4.431783311,42120000,0.009423528015
Sumatera Barat,2001,1668955,376710,2811,71.08,28.17,4.430344297,42120000,0.008943732194
Sumatera Barat,2002,1875834,424253,4241.2,71.28,28.19,4.421498493,42120000,0.01007248338
Sumatera Barat,2003,1823739,411860,4927.2,71.91,29.17,4.42805565,42120000,0.009778252612
Sumatera Barat,2004,1875188,422582,4584.2,78.5,29.02,4.437453559,42120000,0.01003281102
Sumatera Barat,2005,1907390,426950,1533.6,78,25.9,4.467478627,42120000,0.01013651472
Sumatera Barat,2006,1889489,417846,776,79,26.05,4.521974603,42120000,0.00992037037
Sumatera Barat,2007,1938120,423655,4329,85.3,25.7,4.574760123,42120000,0.01005828585
Sumatera Barat,2008,1965634,421902,2552.5,86.2,25.4,4.658982418,42120000,0.01001666667
Sumatera Barat,2009,2105790,439542,4691,86.2,25.5,4.790873227,42120000,0.01043547009
Sumatera Barat,2010,2211248,460497,5228,87.2,25.8,4.801872759,42120000,0.01093297721
Sumatera Barat,2011,2279602,461709,4959.5,54.2,26,4.937313329,42120000,0.01096175214
Sumatera Barat,2012,2368390,476422,4339,87,25.2,4.971202002,42120000,0.01131106363
Sumatera Barat,2013,2430384,487820,4627.9,86.91,25.1,4.982132754,42120000,0.01158167142
Sumatera Barat,2014,2519020,503198,2838.4,85.35,25.7,5.006021487,42120000,0.01194677113
Sumatera Barat,2015,2550609,507545,3548,84,26.5,5.025384941,42120000,0.01204997626
Sumatera Barat,2016,2487929,222482,4205.2,76.49,23.26,11.18260803,42120000,0.005282098765
Sumatera Barat,2017,2810425,222021,4553,75.11,22.19,12.65837466,42120000,0.005271153846
Sumatera Barat,2018,1483076.48,313050.82,327.33,82.71,26.91,4.737494315,42120000,0.007432355651
Sumatera Barat,2019,1482996.01,311671.23,4757.5,87.73,25.61,4.7582063,42120000,0.007399601852
Sumatera Barat,2020,1450839.74,295664.47,4072.7,85.22,26.26,4.907047979,42120000,0.007019574311
Riau,1993,436297,146133,2738.4,86.37,26,2.985615843,89936000,0.001624855453
Riau,1994,445361,146177,1991.3,84.9,26.1,3.046724177,89936000,0.00162534469
Riau,1995,458756,152204,3099.9,85.02,26.17,3.014086358,89936000,0.001692359011
Riau,1996,461905,150354,2259.5,84.26,25.94,3.072116472,89936000,0.001671788828
Riau,1997,416135,137953,1510.4,83.82,26.26,3.016498373,89936000,0.001533901886
Riau,1998,370124,126280,2233,84.26,26.73,2.930978777,89936000,0.001404109589
Riau,1999,461630,155683,2045.3,84.59,26.08,2.965192089,89936000,0.001731042074
Riau,2000,431351,141640,2478.2,84.6,25.98,3.045403841,89936000,0.001574897705
Riau,2001,413391,132507,2441.7,70.79,29.05,3.119767258,89936000,0.001473347714
Riau,2002,396644,129025,3123.8,71.73,28.2,3.074163922,89936000,0.001434631293
Riau,2003,414237,132887,3822.8,72.92,29.64,3.117212368,89936000,0.001477572941
Riau,2004,454186,145239,2540.1,83.7,29.85,3.127162814,89936000,0.001614915051
Riau,2005,424095,134418,1996.3,83.93,26.58,3.155046199,89936000,0.001494596157
Riau,2006,42938,136177,537.6,79.6,27.7,0.3153102213,89936000,0.00151415451
Riau,2007,490087,147167,3216.3,85.3,27.1,3.330141948,89936000,0.001636352517
Riau,2008,494260,147796,3026.2,80.2,27.4,3.344204173,89936000,0.00164334638
Riau,2009,531429,149423,3390,76.2,27.7,3.556540827,89936000,0.001661437022
Riau,2010,574864,156088,3390,76.2,27.7,3.682948081,89936000,0.001735545277
Riau,2011,535788,145242,2405,74.5,27,3.688932953,89936000,0.001614948408
Riau,2012,512152,144015,2636,76.1,27.3,3.556240669,89936000,0.001601305373
Riau,2013,434144,118518,2628,76,26,3.663106026,89936000,0.001317803772
Riau,2014,385475,106037,2343,78.1,27.2,3.635287683,89936000,0.001179027308
Riau,2015,393917,107546,2048.3,80.5,27.2,3.662776858,89936000,0.001195805906
Riau,2016,325826,72151,2105.6,83.72,27,4.515890286,89936000,0.0008022482654
Riau,2017,337421,70016,2982.9,84.76,26.7,4.819198469,89936000,0.0007785091621
Riau,2018,266375.53,71448.08,1837.1,71.22,25,3.728239163,89936000,0.0007944324853
Riau,2019,230873.97,63142.04,1608.3,83.77,26.91,3.656422409,89936000,0.0007020774773
