bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;jenis_perkebunan;produktivitas;satuan
11;Aceh;1101;Kabupaten Simeulue;2021;Karet;1337;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Karet;903;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Karet;448;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Karet;857;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Karet;902;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Karet;;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Karet;1;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Karet;223;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Karet;;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Karet;880;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Karet;710;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Karet;374;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Karet;500;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Karet;800;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Karet;820;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Karet;1022;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Karet;;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Karet;680;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Karet;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Karet;;kg per ha
11;Aceh;1173;Kota Langsa;2021;Karet;1632;kg per ha
11;Aceh;1174;Kota Lhokseumawe;2021;Karet;692;kg per ha
11;Aceh;1175;Kota Subulussalam;2021;Karet;565;kg per ha
11;Aceh;1101;Kabupaten Simeulue;2021;Kelapa;1030;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Kelapa;900;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Kelapa;605;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Kelapa;751;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Kelapa;1005;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Kelapa;161;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Kelapa;500;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Kelapa;946;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Kelapa;810;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Kelapa;1125;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Kelapa;720;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Kelapa;584;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Kelapa;400;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Kelapa;580;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Kelapa;250;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Kelapa;869;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Kelapa;200;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Kelapa;883;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Kelapa;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Kelapa;615;kg per ha
11;Aceh;1173;Kota Langsa;2021;Kelapa;1738;kg per ha
